feature,importance,domain
TF:glcm_21_energy_d2_a0,21.0,TF
TF:lbp_b5,21.0,TF
TF:Ef_min,21.0,TF
TF:Et_mean,21.0,TF
FREQ:hist_b22,21.0,FREQ
FREQ:frac_high,21.0,FREQ
TF:DWT_L6_mean,20.0,TF
TF:WPT_adad_abs_mean,20.0,TF
TF:WPT_dadd_tk_std,20.0,TF
TIME:hist_b15,20.0,TIME
TF:WPT_daad_range,20.0,TF
FREQ:bandP_rel_1,20.0,FREQ
TF:DWT_L1_tk_std,20.0,TF
TF:WPT_dada_abs_mean,20.0,TF
TF:WPT_ddaa_rel_energy,19.0,TF
TF:WPT_daaa_iqr,19.0,TF
TF:WPT_adad_tk_mean,19.0,TF
TF:WPT_adaa_tk_mean,18.0,TF
TF:WPT_band_spread,18.0,TF
TF:WPT_adaa_tk_max,18.0,TF
TF:WPT_ddaa_std,18.0,TF
TF:WPT_daad_tk_std,18.0,TF
TIME:zcr_rate,18.0,TIME
TF:WPT_addd_tk_std,18.0,TF
SPAT:st_traj_drift,18.0,SPAT
TIME:d2_mean_abs,18.0,TIME
TF:DWT_L4_std,18.0,TF
TF:WPT_aaad_kurt,17.0,TF
FREQ:bandP_rel_4,17.0,FREQ
TF:WPT_ddaa_abs_mean,17.0,TF
FREQ:bandP_rel_3,17.0,FREQ
TF:WPT_adda_std,17.0,TF
TF:WPT_aada_abs_mean,17.0,TF
TF:glcm_51_energy_d3_a2,17.0,TF
TF:glcm_35_contrast_d2_a3,17.0,TF
TF:WPT_aadd_std,16.0,TF
TF:WPT_aadd_tk_mean,16.0,TF
TF:stft_rms,16.0,TF
TF:glcm_74_entropy_d4_a2,16.0,TF
TF:WPT_adda_tk_mean,16.0,TF
FREQ:bandP_6,16.0,FREQ
TF:WPT_adda_iqr,16.0,TF
TIME:d1_std,16.0,TIME
TF:DWT_L3_var,15.0,TF
TF:WPT_aaad_entropy,15.0,TF
TF:DWT_L5_mad,15.0,TF
TF:WPT_ddda_std,15.0,TF
TF:Ef_rolloff99,15.0,TF
TF:WPT_aaad_mean,15.0,TF
TF:WPT_addd_mad,15.0,TF
TF:WPT_daaa_abs_mean,15.0,TF
TF:WPT_dadd_iqr,15.0,TF
TF:WPT_daad_iqr,15.0,TF
TF:WPT_dada_std,15.0,TF
TF:DWT_L3_p2p,14.0,TF
TF:WPT_ddaa_log_energy,14.0,TF
TF:DWT_L1_energy,14.0,TF
TF:DWT_L4_tk_mean,14.0,TF
TF:WPT_aadd_p2p,14.0,TF
TF:WPT_ddda_abs_mean,14.0,TF
TF:WPT_ddda_tk_mean,14.0,TF
TF:WPT_adad_iqr,14.0,TF
TF:WPT_adad_mad,14.0,TF
TF:WPT_aaad_median,14.0,TF
TF:WPT_dadd_abs_mean,14.0,TF
TF:DWT_L2_p2p,13.0,TF
TF:WPT_ddad_abs_mean,13.0,TF
TF:WPT_low_high_ratio,13.0,TF
TF:WPT_adaa_rel_energy,13.0,TF
TF:Ef_range,13.0,TF
TIME:peak_rate,13.0,TIME
TF:WPT_ddda_rel_energy,13.0,TF
TF:WPT_daaa_std,13.0,TF
TF:Ef_n_peaks,12.0,TF
TF:WPT_addd_iqr,12.0,TF
TF:WPT_dddd_abs_mean,12.0,TF
TIME:range_over_std,12.0,TIME
TF:WPT_aadd_rel_energy,12.0,TF
TF:WPT_daad_mad,12.0,TF
TF:WPT_aaad_skew,12.0,TF
TF:WPT_addd_std,12.0,TF
TF:WPT_aaad_min,12.0,TF
TF:WPT_dada_tk_mean,11.0,TF
TF:WPT_adda_p2p,11.0,TF
FREQ:hist_b21,11.0,FREQ
TF:WPT_aaad_tk_max,11.0,TF
TF:glcm_25_contrast_d2_a1,11.0,TF
TF:WPT_aada_std,11.0,TF
TF:DWT_L4_p2p,11.0,TF
TF:WPT_adad_p2p,11.0,TF
TF:lbp_b21,11.0,TF
TF:WPT_daaa_mad,11.0,TF
TF:WPT_aaad_mad,11.0,TF
TF:WPT_aaad_iqr,11.0,TF
TF:WPT_aada_energy,11.0,TF
TF:DWT_L0_energy,11.0,TF
TIME:tkeo_mean,11.0,TIME
TF:DWT_L6_p2p,10.0,TF
TF:Ef_rolloff95,10.0,TF
TF:WPT_dadd_mad,10.0,TF
TF:WPT_daad_log_energy,10.0,TF
TF:DWT_L2_var,10.0,TF
TF:lbp_b20,10.0,TF
TF:WPT_aaaa_p2p,10.0,TF
TF:WPT_daaa_rel_energy,10.0,TF
TF:WPT_aaad_max,10.0,TF
FREQ:bandP_rel_2,10.0,FREQ
TF:DWT_L6_std,9.0,TF
TF:stft_range,9.0,TF
TF:WPT_addd_tk_mean,9.0,TF
TF:WPT_dada_p2p,9.0,TF
TF:WPT_dada_rel_energy,9.0,TF
TF:glcm_27_homogeneity_d2_a1,9.0,TF
TF:WPT_daad_std,9.0,TF
TF:Ef_rolloff85,9.0,TF
TF:DWT_L1_var,9.0,TF
TF:WPT_aaaa_var,9.0,TF
TF:DWT_L5_std,9.0,TF
TF:DWT_L6_tk_mean,8.0,TF
TF:DWT_L1_p2p,8.0,TF
TF:WPT_adad_rel_energy,8.0,TF
TF:WPT_dadd_tk_mean,8.0,TF
TF:WPT_daaa_var,8.0,TF
TF:WPT_ddad_rel_energy,8.0,TF
TF:WPT_dadd_rel_energy,7.0,TF
TF:WPT_daad_tk_mean,7.0,TF
TF:WPT_daaa_energy,7.0,TF
TF:WPT_ddad_std,7.0,TF
TF:WPT_aaaa_rel_energy,7.0,TF
TIME:burst_rate,7.0,TIME
TF:WPT_ddad_tk_mean,7.0,TF
TF:WPT_adda_energy,7.0,TF
TF:WPT_daad_abs_mean,7.0,TF
TF:glcm_37_homogeneity_d2_a3,7.0,TF
TF:WPT_aadd_energy,7.0,TF
TF:WPT_daaa_log_energy,7.0,TF
TF:WPT_dddd_rel_energy,7.0,TF
SPAT:sp_q75,7.0,SPAT
FREQ:psd_min,7.0,FREQ
TF:WPT_adad_energy,7.0,TF
TIME:clearance_factor,6.0,TIME
TIME:crest_factor,6.0,TIME
TF:WPT_dadd_log_energy,6.0,TF
TIME:autocorr_peak,6.0,TIME
TF:WPT_aada_rel_energy,6.0,TF
TF:WPT_aaad_range,6.0,TF
TF:WPT_ddaa_p2p,6.0,TF
FREQ:pow_max,6.0,FREQ
TF:WPT_dddd_std,6.0,TF
TF:WPT_dada_log_energy,6.0,TF
TF:WPT_ddaa_energy,6.0,TF
TF:WPT_dadd_std,6.0,TF
TF:WPT_addd_abs_mean,6.0,TF
TF:DWT_L0_log_energy,6.0,TF
TF:DWT_L4_var,6.0,TF
TF:WPT_addd_rel_energy,5.0,TF
TF:DWT_L6_mad,5.0,TF
TF:tf_occupancy,5.0,TF
TF:WPT_dddd_p2p,5.0,TF
TF:WPT_addd_p2p,5.0,TF
TF:WPT_dddd_tk_mean,5.0,TF
TF:WPT_band_centroid,5.0,TF
TF:WPT_adda_rel_energy,5.0,TF
TF:WPT_adad_std,5.0,TF
TF:WPT_dada_energy,5.0,TF
TF:WPT_aada_var,5.0,TF
TF:das_transient_index,5.0,TF
TF:glcm_26_energy_d2_a1,5.0,TF
TF:WPT_adad_log_energy,5.0,TF
TF:WPT_daad_rel_energy,5.0,TF
FREQ:bandP_rel_0,5.0,FREQ
TIME:max_peak_amp,4.0,TIME
TF:WPT_ddad_log_energy,4.0,TF
TF:WPT_daad_p2p,4.0,TF
TIME:hjorth_mobility,4.0,TIME
TF:WPT_ddad_energy,4.0,TF
TF:DWT_L4_energy,4.0,TF
TF:DWT_L2_log_energy,4.0,TF
TF:DWT_L1_log_energy,4.0,TF
TF:WPT_adaa_log_energy,4.0,TF
TF:WPT_aaaa_energy,4.0,TF
TF:WPT_aadd_log_energy,4.0,TF
TF:WPT_aadd_var,4.0,TF
FREQ:bandP_rel_6,4.0,FREQ
TF:DWT_L0_var,4.0,TF
TF:DWT_L5_tk_mean,4.0,TF
TF:WPT_ddaa_var,4.0,TF
TF:glcm_29_entropy_d2_a1,4.0,TF
TF:glcm_39_entropy_d2_a3,4.0,TF
TF:WPT_aada_p2p,4.0,TF
FREQ:bandP_rel_5,3.0,FREQ
TF:WPT_daad_var,3.0,TF
TF:WPT_daaa_p2p,3.0,TF
TF:DWT_L0_p2p,3.0,TF
SPAT:sp_q25,3.0,SPAT
TF:Ef_iqr,3.0,TF
TF:Ef_mean,3.0,TF
TF:WPT_adda_var,3.0,TF
TF:WPT_ddda_log_energy,3.0,TF
TF:WPT_adaa_var,3.0,TF
TF:WPT_ddad_p2p,3.0,TF
TF:glcm_36_energy_d2_a3,3.0,TF
TF:WPT_ddda_p2p,3.0,TF
TF:WPT_adaa_energy,3.0,TF
TF:WPT_dddd_var,3.0,TF
TF:WPT_adad_var,3.0,TF
TF:WPT_dddd_energy,3.0,TF
TF:DWT_L3_log_energy,3.0,TF
TF:WPT_band_entropy,3.0,TF
TF:WPT_dadd_p2p,2.0,TF
TF:WPT_adaa_p2p,2.0,TF
TF:WPT_ddda_var,2.0,TF
TF:WPT_ddda_energy,2.0,TF
TF:WPT_ddad_var,2.0,TF
TF:WPT_dada_var,2.0,TF
TIME:waveform_length,2.0,TIME
TF:DWT_L6_energy,2.0,TF
TF:DWT_L6_log_energy,2.0,TF
TF:WPT_band_flatness,2.0,TF
TF:WPT_daad_energy,2.0,TF
TF:DWT_L5_p2p,2.0,TF
TF:WPT_ddaa_rms,2.0,TF
TF:WPT_daad_rms,1.0,TF
TF:WPT_aada_log_energy,1.0,TF
TF:WPT_adaa_rms,1.0,TF
TF:WPT_ddda_rms,1.0,TF
FREQ:hist_b19,1.0,FREQ
TF:WPT_addd_log_energy,1.0,TF
TF:WPT_addd_energy,1.0,TF
TF:WPT_dadd_var,1.0,TF
TF:DWT_L2_rms,1.0,TF
TF:WPT_aaad_p2p,1.0,TF
TF:Ef_peak_amp,1.0,TF
TF:WPT_daaa_rms,1.0,TF
TF:DWT_L1_rms,1.0,TF
TF:DWT_L4_log_energy,1.0,TF
TF:DWT_L5_var,1.0,TF
TF:WPT_dadd_energy,1.0,TF
TF:WPT_adda_log_energy,1.0,TF
TF:DWT_L6_var,1.0,TF
TF:WPT_dddd_log_energy,1.0,TF
TF:WPT_aaad_var,1.0,TF
TF:WPT_adda_rms,1.0,TF
TIME:log_energy,0.0,TIME
SPAT:st_energy,0.0,SPAT
SPAT:sp_flatness,0.0,SPAT
SPAT:sp_max_frac,0.0,SPAT
SPAT:sp_entropy,0.0,SPAT
TIME:var,0.0,TIME
SPAT:sp_top3_frac,0.0,SPAT
TF:WPT_aadd_rms,0.0,TF
TIME:hjorth_activity,0.0,TIME
TF:WPT_addd_var,0.0,TF
TF:WPT_ddad_rms,0.0,TF
SPAT:sp_smoothness,0.0,SPAT
FREQ:peak1_amp,0.0,FREQ
SPAT:sp_n_clusters,0.0,SPAT
TIME:sem,0.0,TIME
TIME:mean_power,0.0,TIME
SPAT:sp_cluster_mean,0.0,SPAT
TF:WPT_adad_rms,0.0,TF
TIME:zero_frac,0.0,TIME
SPAT:sp_cluster_std,0.0,SPAT
SPAT:sp_coverage,0.0,SPAT
TIME:rms,0.0,TIME
SPAT:st_std,0.0,SPAT
TIME:energy,0.0,TIME
FREQ:pow_mean,0.0,FREQ
SPAT:sp_cluster_max,0.0,SPAT
SPAT:sp_spread,0.0,SPAT
TF:WPT_dada_rms,0.0,TF
TF:WPT_aaad_energy,0.0,TF
FREQ:hist_b14,0.0,FREQ
FREQ:hist_b15,0.0,FREQ
FREQ:hist_b16,0.0,FREQ
FREQ:hist_b17,0.0,FREQ
FREQ:hist_b18,0.0,FREQ
FREQ:hist_b20,0.0,FREQ
TF:WPT_addd_rms,0.0,TF
TF:WPT_aaad_rms,0.0,TF
TF:WPT_aaad_log_energy,0.0,TF
TF:WPT_aaad_std,0.0,TF
FREQ:hist_b12,0.0,FREQ
TF:WPT_aaaa_rms,0.0,TF
TF:WPT_aaaa_log_energy,0.0,TF
TF:DWT_L6_rms,0.0,TF
TF:WPT_dadd_rms,0.0,TF
TF:DWT_L5_rms,0.0,TF
TF:DWT_L5_log_energy,0.0,TF
TF:DWT_L0_rms,0.0,TF
TF:DWT_L5_energy,0.0,TF
TF:DWT_L3_rms,0.0,TF
FREQ:hist_b13,0.0,FREQ
FREQ:hist_b11,0.0,FREQ
TF:WPT_dddd_rms,0.0,TF
FREQ:psd_range,0.0,FREQ
TIME:std,0.0,TIME
FREQ:ratio_high_tail,0.0,FREQ
SPAT:sp_active_frac,0.0,SPAT
SPAT:sp_active50,0.0,SPAT
SPAT:sp_active10,0.0,SPAT
SPAT:sp_width,0.0,SPAT
SPAT:sp_centroid,0.0,SPAT
TF:WPT_aada_rms,0.0,TF
FREQ:psd_max,0.0,FREQ
FREQ:hist_b0,0.0,FREQ
FREQ:hist_b10,0.0,FREQ
FREQ:hist_b1,0.0,FREQ
FREQ:hist_b2,0.0,FREQ
FREQ:hist_b3,0.0,FREQ
FREQ:hist_b4,0.0,FREQ
FREQ:hist_b5,0.0,FREQ
FREQ:hist_b6,0.0,FREQ
FREQ:hist_b7,0.0,FREQ
FREQ:hist_b8,0.0,FREQ
FREQ:hist_b9,0.0,FREQ
TF:DWT_L4_rms,0.0,TF
