feature,importance,domain
TF:WPT_aadd_entropy,110.0,TF
TIME:p95,110.0,TIME
TF:DWT_L2_entropy,109.0,TF
TF:tfband_3,108.0,TF
TF:DWT_L1_mad,108.0,TF
TF:DWT_L0_iqr,108.0,TF
TIME:mean_peak_amp,107.0,TIME
TF:mod8_spread,107.0,TF
TF:tf_aspect_ratio,107.0,TF
TF:mod5_spread,106.0,TF
TF:novelty,105.0,TF
TF:glcm_28_correlation_d2_a1,104.0,TF
TF:DWT_L2_mad,104.0,TF
TIME:energy_gini,102.0,TIME
TF:WPT_ddad_entropy,102.0,TF
TF:DWT_L4_kurt,102.0,TF
TF:WPT_aadd_kurt,101.0,TF
TIME:min,101.0,TIME
TF:lbp_b15,101.0,TF
TF:DWT_L2_tk_std,99.0,TF
FREQ:peak1_freq,98.0,FREQ
TF:mod2_spread,98.0,TF
FREQ:bandP_3,98.0,FREQ
TF:DWT_L3_entropy,98.0,TF
TF:WPT_aaaa_zcr,98.0,TF
TF:glcm_55_contrast_d3_a3,97.0,TF
TIME:energy_spread,97.0,TIME
TF:WPT_dddd_entropy,96.0,TF
FREQ:hist_b31,96.0,FREQ
TF:WPT_adda_kurt,95.0,TF
TF:stft_mean,95.0,TF
TIME:std_peak_amp,95.0,TIME
TF:mod7_spread,94.0,TF
TF:DWT_L3_iqr,94.0,TF
FREQ:spec_spread,92.0,FREQ
TF:DWT_L3_tk_mean,91.0,TF
TF:glcm_20_contrast_d2_a0,91.0,TF
TF:lbp_b23,91.0,TF
TIME:burst_std_dur,91.0,TIME
TF:glcm_40_contrast_d3_a0,90.0,TF
TF:WPT_dada_entropy,90.0,TF
TF:WPT_ddad_kurt,88.0,TF
TF:WPT_ddda_entropy,88.0,TF
TF:tfband_0,88.0,TF
TF:hog_b8,87.0,TF
TF:stft_p90,87.0,TF
TF:WPT_aada_entropy,87.0,TF
TIME:seg_energy_1,86.0,TIME
TF:glcm_45_contrast_d3_a1,86.0,TF
TF:WPT_adad_entropy,86.0,TF
FREQ:hist_b28,86.0,FREQ
TF:hog_b6,85.0,TF
TF:WPT_daad_median,85.0,TF
TF:DWT_L5_kurt,85.0,TF
TF:mod3_spread,85.0,TF
TF:Et_entropy,84.0,TF
TF:hog_b0,84.0,TF
TF:Et_std,83.0,TF
TIME:hist_b6,83.0,TIME
TF:WPT_ddaa_kurt,83.0,TF
FREQ:mag_max,83.0,FREQ
TF:DWT_L0_zcr,83.0,TF
TIME:hist_b2,83.0,TIME
TF:WPT_dada_zcr,82.0,TF
FREQ:cepstral_4,82.0,FREQ
TF:DWT_L3_range,82.0,TF
TF:hog_b1,82.0,TF
TIME:hist_b7,82.0,TIME
TF:glcm_61_energy_d4_a0,81.0,TF
TIME:burst_mean_dur,81.0,TIME
TF:hog_b7,81.0,TF
TF:Ef_harmonic_ratio,81.0,TF
TIME:seg_energy_6,81.0,TIME
TF:DWT_L3_mean,80.0,TF
TF:WPT_aada_kurt,80.0,TF
TIME:hist_b4,79.0,TIME
TF:WPT_adda_entropy,79.0,TF
TF:lbp_b30,79.0,TF
TF:Et_p75,79.0,TF
TF:DWT_L2_range,79.0,TF
TF:glcm_77_homogeneity_d4_a3,78.0,TF
TF:WPT_adda_zcr,78.0,TF
TF:DWT_L2_min,77.0,TF
TF:das_low_high_ratio,77.0,TF
TIME:mad,77.0,TIME
TF:WPT_ddaa_entropy,77.0,TF
TF:WPT_ddda_kurt,77.0,TF
TF:mod9_spread,77.0,TF
TF:hog_b15,77.0,TF
TF:glcm_30_contrast_d2_a2,77.0,TF
FREQ:ratio_low_mid,76.0,FREQ
TIME:p99,76.0,TIME
TIME:above_1std_frac,76.0,TIME
FREQ:peak2_freq,76.0,FREQ
TF:DWT_L0_median,75.0,TF
TF:tf_elongation,75.0,TF
TF:glcm_44_entropy_d3_a0,75.0,TF
TF:DWT_L0_entropy,75.0,TF
TF:DWT_L4_tk_max,75.0,TF
TF:DWT_L3_median,74.0,TF
TF:WPT_ddaa_tk_std,74.0,TF
SPAT:st_mean,74.0,SPAT
FREQ:peak2_amp,74.0,FREQ
TF:glcm_42_homogeneity_d3_a0,73.0,TF
TF:WPT_daad_mean,73.0,TF
TF:glcm_57_homogeneity_d3_a3,73.0,TF
TIME:hist_entropy,73.0,TIME
TF:hog_b2,73.0,TF
TF:Et_iqr,73.0,TF
TIME:burst_occupancy,73.0,TIME
TF:WPT_dada_median,73.0,TF
SPAT:st_hist_entropy,73.0,SPAT
TIME:d1_max_abs,72.0,TIME
TF:DWT_L2_kurt,72.0,TF
FREQ:peak_ratio,72.0,FREQ
TIME:n_peaks,72.0,TIME
TF:DWT_L3_kurt,72.0,TF
TF:glcm_69_entropy_d4_a1,71.0,TF
TF:DWT_L4_min,71.0,TF
TF:DWT_L3_mad,71.0,TF
TF:DWT_L3_tk_std,71.0,TF
TF:DWT_L0_kurt,71.0,TF
TF:DWT_L3_min,71.0,TF
TF:divergence_std,71.0,TF
TIME:autocorr_first_zero,71.0,TIME
TIME:hist_b5,71.0,TIME
FREQ:hist_b26,71.0,FREQ
TF:Ef_spread,71.0,TF
TIME:above_2std_frac,71.0,TIME
TF:WPT_adad_max,70.0,TF
TF:WPT_aadd_range,70.0,TF
TF:WPT_aaaa_abs_mean,69.0,TF
TF:WPT_dadd_zcr,69.0,TF
TIME:env_crest,67.0,TIME
FREQ:bandP_1,67.0,FREQ
TF:WPT_adda_median,67.0,TF
TF:glcm_75_contrast_d4_a3,67.0,TF
TF:DWT_L2_skew,66.0,TF
TF:WPT_dddd_kurt,66.0,TF
TF:Ef_kurt,66.0,TF
TIME:seg_energy_7,66.0,TIME
TF:tf_ridge_density,66.0,TF
TF:lbp_b14,66.0,TF
TF:lbp_b0,65.0,TF
TF:DWT_L1_median,65.0,TF
FREQ:bandP_2,65.0,FREQ
TF:glcm_32_homogeneity_d2_a2,65.0,TF
TF:lbp_b2,65.0,TF
TF:glcm_0_contrast_d1_a0,65.0,TF
TF:hog_b3,65.0,TF
TF:stft_p50,65.0,TF
TF:WPT_ddda_median,64.0,TF
TF:das_tonal_ratio,64.0,TF
TF:WPT_aadd_max,64.0,TF
TF:WPT_daad_entropy,64.0,TF
TF:WPT_ddda_zcr,63.0,TF
TF:Ef_max,63.0,TF
TF:DWT_L2_tk_max,63.0,TF
TIME:env_entropy,63.0,TIME
TIME:longest_run_above,63.0,TIME
TF:WPT_addd_zcr,63.0,TF
FREQ:cepstral_5,63.0,FREQ
TF:flux_max,63.0,TF
FREQ:peak_count,62.0,FREQ
TF:WPT_dddd_median,62.0,TF
TF:mod11_entropy,62.0,TF
TF:WPT_adad_kurt,62.0,TF
TF:mod0_entropy,62.0,TF
TF:stft_min,61.0,TF
TF:DWT_L5_median,61.0,TF
TF:WPT_ddad_tk_std,61.0,TF
TF:hog_b14,61.0,TF
TF:glcm_5_contrast_d1_a1,60.0,TF
TIME:hist_b8,60.0,TIME
TF:glcm_38_correlation_d2_a3,60.0,TF
TF:WPT_aadd_mean,60.0,TF
TF:hog_b10,59.0,TF
TF:DWT_L2_max,59.0,TF
FREQ:spec_rolloff85,59.0,FREQ
TF:WPT_dddd_zcr,59.0,TF
TF:lbp_b28,59.0,TF
TF:hog_b9,59.0,TF
TF:WPT_adad_mean,59.0,TF
TF:WPT_dada_kurt,59.0,TF
TF:Ef_skew,59.0,TF
TIME:p75,59.0,TIME
FREQ:hist_entropy,58.0,FREQ
TF:mod1_spread,58.0,TF
FREQ:cepstral_8,58.0,FREQ
TF:DWT_L5_skew,58.0,TF
TF:WPT_ddaa_range,58.0,TF
TIME:hist_b3,58.0,TIME
TF:WPT_adaa_median,58.0,TF
TF:glcm_2_homogeneity_d1_a0,58.0,TF
TF:Et_spread,57.0,TF
TIME:p2p,57.0,TIME
TF:glcm_50_contrast_d3_a2,57.0,TF
TF:Ef_peak_freq,57.0,TF
TF:lbp_b16,57.0,TF
TF:tfband_2,57.0,TF
TIME:seg_energy_8,57.0,TIME
TF:hog_b12,57.0,TF
TF:hog_b4,57.0,TF
TIME:above_3std_frac,56.0,TIME
TF:DWT_L1_kurt,56.0,TF
TF:Et_p25,56.0,TF
TIME:seg_energy_5,56.0,TIME
TF:DWT_L4_max,56.0,TF
TF:WPT_ddaa_tk_max,56.0,TF
TF:hog_b13,56.0,TF
