n_classes,dropped,n_samples,accuracy,balanced_accuracy,f1_macro,f1_gain_pp
6,(none),15418,99.057127010538,98.979725807474,98.89653827503902,0.0
5,walk,12968,99.49077021005729,99.5578885767977,99.40981646658658,0.51
4,"walk, water",10715,99.70436067997043,99.78447901277482,99.69029175191444,0.79
