,background,dig,knock,shake,walk,water
background,227,0,0,0,0,0
dig,0,365,0,0,3,2
knock,1,1,620,0,0,0
shake,0,0,0,134,0,0
walk,0,3,1,1,227,0
water,1,0,0,1,3,213
