true,predicted,pct_of_true,n
water,walk,1.3761467889908259,3
walk,dig,1.293103448275862,3
dig,walk,0.8108108108108109,3
dig,water,0.5405405405405406,2
water,background,0.45871559633027525,1
water,shake,0.45871559633027525,1
walk,knock,0.43103448275862066,1
walk,shake,0.43103448275862066,1
knock,background,0.1607717041800643,1
knock,dig,0.1607717041800643,1
