class,precision,recall,f1-score,support
background,0.9912663755458515,1.0,0.9956140350877193,227.0
dig,0.989159891598916,0.9864864864864865,0.9878213802435724,370.0
knock,0.998389694041868,0.9967845659163987,0.997586484312148,622.0
shake,0.9852941176470589,1.0,0.9925925925925926,134.0
walk,0.9742489270386266,0.978448275862069,0.9763440860215054,232.0
water,0.9906976744186047,0.9770642201834863,0.9838337182448037,218.0
accuracy,0.9905712701053799,0.9905712701053799,0.9905712701053799,0.9905712701053799
macro avg,0.988176113381821,0.98979725807474,0.9889653827503903,1803.0
weighted avg,0.9905891695482376,0.9905712701053799,0.9905668751186655,1803.0
