feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
TF:WPT_aada_log_energy,5,0.3428257405757904,288.0,0.20011459106878865,236.0,0.35500588688631884,160.0,0.055185065162591376,556.0,0.0,701.5,-7.0,452.5,-1.0,226.5,7.583975088884287e-05,710.0,416.3125,62.5
FREQ:ratio_mid_high,5,48.5162467956543,96.0,0.07364579698553092,742.0,0.25247944172685344,485.0,0.006743505684996733,904.0,0.0,701.5,-4.0,152.5,-1.0,226.5,0.0019446519588659627,28.0,416.9375,62.5
TF:WPT_low_high_ratio,5,43564118016.0,9.0,0.08856288401737804,684.0,0.35646037229192284,151.0,0.012598853776032225,871.0,0.0,701.5,-6.0,352.5,-1.0,226.5,0.00012294492774024129,340.0,416.9375,62.5
TF:WPT_aadd_range,5,12.624431610107422,136.5,0.1996587129294477,245.5,0.3061098918211713,360.0,0.0515331226700945,619.5,0.0,701.5,-10.0,752.5,-1.0,226.5,0.00014468759357922517,296.0,417.25,62.5
TIME:kurt,5,6.447531223297119,156.0,0.09459107454912638,670.0,0.16120025889607703,635.0,0.056154355487236136,541.0,0.0,701.5,-4.0,152.5,-1.0,226.5,0.0001680937472591506,263.0,418.1875,62.5
FREQ:psd_range,5,0.001055983011610806,631.5,0.14844283829051955,503.5,0.3300181169005021,303.0,0.08542898143764406,121.5,0.0,701.5,-10.0,752.5,-1.0,226.5,0.0004762703727229045,109.0,418.625,62.5
TF:WPT_band_centroid,5,0.19805127382278442,323.0,0.21694137430665864,131.0,0.349478032988245,199.0,0.06414921948935842,318.0,267.0,134.0,-12.0,952.5,-149.0,670.5,8.270422171602286e-05,624.0,419.0,62.5
TF:WPT_daaa_iqr,5,1.6050307749537751e-06,844.0,0.21689060483273645,135.0,0.349801335215834,195.0,0.05909545421792937,456.0,238.0,163.0,-5.0,252.5,-102.0,623.0,7.737456727012886e-05,685.0,419.1875,62.5
TF:WPT_ddaa_mad,5,7.019818326625682e-08,905.0,0.2172567079669233,124.0,0.3501651983001781,194.0,0.05725572881201418,517.0,263.0,138.0,-10.0,752.5,-1.0,226.5,9.644787586910338e-05,497.0,419.25,62.5
TF:DWT_L6_entropy,5,0.08320056647062302,385.0,0.10029790857629253,652.0,0.1061681844274287,713.0,0.016463394763305165,840.0,108.0,293.0,-3.0,52.5,-1.0,226.5,0.00029000132589581984,195.0,419.625,62.5
TF:WPT_adad_tk_std,5,0.00044927981798537076,685.0,0.19533421684186178,312.0,0.3195304796901772,319.0,0.05893434203054305,463.0,29.0,372.0,-4.0,152.5,-21.0,542.5,9.443259438798734e-05,511.0,419.625,62.5
TF:mod0_entropy,5,0.0326034240424633,450.0,0.13368111044716782,546.0,0.13883698035700087,666.0,0.09156232695864568,99.0,0.0,701.5,-7.0,452.5,-1.0,226.5,0.00023026206076831273,216.0,419.6875,62.5
