,variance,pearson,mutual_info,relieff,mrmr,rfe,boruta,shap
variance,1.0,0.38016528925619836,0.3878116343490305,0.3839779005524862,0.35772357723577236,0.4396551724137931,0.46277372262773725,0.4458874458874459
pearson,0.38016528925619836,1.0,0.8119349005424955,0.5729984301412873,0.5705329153605015,0.363265306122449,0.42735042735042733,0.4013986013986014
mutual_info,0.3878116343490305,0.8119349005424955,1.0,0.5415384615384615,0.5829383886255924,0.3820689655172414,0.4670571010248902,0.4396551724137931
relieff,0.3839779005524862,0.5729984301412873,0.5415384615384615,1.0,0.5391705069124424,0.36885245901639346,0.4713656387665198,0.45428156748911463
mrmr,0.35772357723577236,0.5705329153605015,0.5829383886255924,0.5391705069124424,1.0,0.35956580732700133,0.47569955817378495,0.4334763948497854
rfe,0.4396551724137931,0.363265306122449,0.3820689655172414,0.36885245901639346,0.35956580732700133,1.0,0.45428156748911463,0.4479768786127168
boruta,0.46277372262773725,0.42735042735042733,0.4670571010248902,0.4713656387665198,0.47569955817378495,0.45428156748911463,1.0,0.6534653465346535
shap,0.4458874458874459,0.4013986013986014,0.4396551724137931,0.45428156748911463,0.4334763948497854,0.4479768786127168,0.6534653465346535,1.0
