domain,n_selected,n_available,pct_of_selected,retention_pct
time,3,112,5.769230769230769,2.6785714285714284
freq,6,90,11.538461538461538,6.666666666666667
tf,35,739,67.3076923076923,4.7361299052774015
spatial,8,61,15.384615384615385,13.114754098360656
