domain,n_features,n_windows,non_finite,constant_cols,near_constant,max_abs,mem_MB
time,112,360,0,7,9,999999995904.0,0.2
freq,90,360,0,20,21,30549660.0,0.1
tf,739,360,0,0,5,8553.0498046875,1.1
spatial,61,360,0,15,23,182318.703125,0.1
TOTAL,1002,360,0,42,58,999999995904.0,1.5000000000000002
