dataset,model,n_train,n_test,accuracy,balanced_accuracy,f1_macro,train_seconds,n_params
cao,1D-CNN (DAS_CNN),9000,1581,81.84693232131562,80.8747940413041,79.24602360202172,64.1,33152774
tomasov,1D-CNN (DAS_CNN),13500,3398,57.18069452619188,55.02076318742986,54.45707889232013,91.9,33155849
