dataset,model,n_train,n_test,accuracy,balanced_accuracy,f1_macro,train_seconds,n_params
cao,1D-CNN (DAS_CNN),9000,1581,82.79569892473118,82.33537329129476,81.71346964346256,68.0,33152774
tomasov,1D-CNN (DAS_CNN),13500,3398,53.796350794585045,52.30808080808082,53.29819437440897,97.0,33155849
