n_classes,dropped,n_samples,accuracy,balanced_accuracy,f1_macro,f1_gain_pp
9,(none),540,68.57142857142857,67.39583333333333,56.01851851851851,0.0
8,openclose,480,75.75757575757575,78.8095238095238,66.10119047619048,10.08
7,"openclose, regular",420,69.6969696969697,71.78571428571429,65.64007421150279,9.62
