direction,n_train,n_test,accuracy,balanced_accuracy,f1_macro
Cao (within),7888,1451,95.93383873190902,94.56948751818814,94.45013303189086
Tomasov (within),81645,6987,73.02132531844855,69.28887485164775,70.01171094986725
Cao -> Tomasov,10437,95985,14.414752305047665,21.657161548527874,12.974693028086381
Tomasov -> Cao,95985,10437,19.124269426080293,20.017935220167875,15.992822381270319
