n_classes,dropped,n_samples,accuracy,balanced_accuracy,f1_macro,f1_gain_pp
6,(none),360,97.2972972972973,97.61904761904762,98.18031430934657,0.0
5,dig,300,93.33333333333333,90.0,89.33333333333333,-8.85
4,"dig, knock",240,86.66666666666667,87.5,86.66666666666666,-11.51
