class,precision,recall,f1-score,support
background,1.0,1.0,1.0,3.0
dig,1.0,0.8571428571428571,0.9230769230769231,7.0
knock,0.9375,1.0,0.967741935483871,15.0
shake,1.0,1.0,1.0,4.0
walk,1.0,1.0,1.0,4.0
water,1.0,1.0,1.0,4.0
accuracy,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973
macro avg,0.9895833333333334,0.9761904761904763,0.9818031430934657,37.0
weighted avg,0.9746621621621622,0.972972972972973,0.9723693917242304,37.0
