n_classes,dropped,n_samples,accuracy,balanced_accuracy,f1_macro,f1_gain_pp
9,(none),172458,77.06899594141521,72.7851028275372,73.53281420114833,0.0
8,openclose,166644,78.33153735632183,79.44465039495287,79.78639105617927,6.25
7,"openclose, car",137635,87.00341734301581,86.45893315155968,86.12746710610135,12.59
