,car,construction,fence,longboard,manipulation,openclose,regular,running,walk
car,0.4813769751693002,0.0417607223476298,0.41478555304740405,0.003386004514672686,0.0,0.000564334085778781,0.02708803611738149,0.0,0.031038374717832957
construction,0.033154121863799284,0.9565412186379928,0.0076164874551971325,0.0008960573476702509,0.00044802867383512545,0.0,0.0,0.0,0.0013440860215053765
fence,0.05849722642460918,0.004034291477559254,0.8048411497730711,0.0030257186081694403,0.0,0.005042864346949067,0.0897629853756934,0.0,0.03479576399394856
longboard,0.029259896729776247,0.0017211703958691911,0.0,0.9690189328743546,0.0,0.0,0.0,0.0,0.0
manipulation,0.00461361014994233,0.0,0.0,0.002306805074971165,0.9826989619377162,0.008073817762399077,0.0,0.002306805074971165,0.0
openclose,0.12121212121212122,0.0,0.12121212121212122,0.13636363636363635,0.0,0.21212121212121213,0.0,0.0,0.4090909090909091
regular,0.037803780378037805,0.0,0.45364536453645365,0.0009000900090009,0.0,0.0,0.504050405040504,0.0,0.0036003600360036
running,0.03767491926803014,0.0,0.0,0.030139935414424113,0.09149623250807319,0.04951560818083961,0.0,0.7911733046286329,0.0
walk,0.09452137266706803,0.0006020469596628537,0.024081878386514148,0.001806140878988561,0.001806140878988561,0.001806140878988561,0.0,0.018061408789885613,0.8573148705599036
