dataset,removed,f1_without,f1_full,cost_pp
cao,spatial,93.74695577126126,98.88681483419934,5.14
cao,time-frequency,98.35038023760062,98.88681483419934,0.54
cao,frequency,98.53275209302407,98.88681483419934,0.35
cao,time,98.63956891745359,98.88681483419934,0.25
tomasov,spatial,62.13339605384278,81.80550482859827,19.67
tomasov,time-frequency,81.57447989930058,81.80550482859827,0.23
tomasov,frequency,81.72106351552306,81.80550482859827,0.08
tomasov,time,81.90072837588613,81.80550482859827,-0.1
