,car,construction,fence,longboard,manipulation,openclose,regular,running,walk
car,0.4068848758465011,0.06376975169300225,0.3007900677200903,0.0056433408577878106,0.003386004514672686,0.004514672686230248,0.15067720090293454,0.000564334085778781,0.06376975169300225
construction,0.043010752688172046,0.8947132616487455,0.04121863799283154,0.0,0.00044802867383512545,0.002240143369175627,0.011648745519713262,0.002240143369175627,0.004480286738351254
fence,0.09631870902672718,0.018658598083711547,0.6520423600605144,0.0025214321734745334,0.0045385779122541605,0.006555723651033787,0.15985879979828543,0.0010085728693898135,0.05849722642460918
longboard,0.0189328743545611,0.027538726333907058,0.010327022375215147,0.9139414802065404,0.0,0.010327022375215147,0.0,0.0189328743545611,0.0
manipulation,0.03229527104959631,0.03344867358708189,0.00922722029988466,0.012687427912341407,0.7889273356401384,0.04844290657439446,0.0011534025374855825,0.02768166089965398,0.0461361014994233
openclose,0.1111111111111111,0.04040404040404041,0.17676767676767677,0.025252525252525252,0.08080808080808081,0.19696969696969696,0.08080808080808081,0.04040404040404041,0.2474747474747475
regular,0.1251125112511251,0.010801080108010801,0.3276327632763276,0.004500450045004501,0.0,0.0009000900090009,0.49414941494149417,0.0,0.0369036903690369
running,0.0721205597416577,0.015069967707212056,0.002152852529601722,0.09149623250807319,0.017222820236813777,0.03767491926803014,0.0032292787944025836,0.7524219590958019,0.008611410118406888
walk,0.04695966285370259,0.034918723660445516,0.08127633955448525,0.0006020469596628537,0.012040939193257074,0.024683925346177003,0.01625526791089705,0.013847080072245636,0.769416014449127
