class,precision,recall,f1-score,support
car,0.5328898743532889,0.4068848758465011,0.46144,1772.0
construction,0.8743432574430823,0.8947132616487455,0.8844109831709478,2232.0
fence,0.5239059967585089,0.6520423600605144,0.5809930352729724,1983.0
longboard,0.8131699846860643,0.9139414802065404,0.8606158833063209,581.0
manipulation,0.9095744680851063,0.7889273356401384,0.8449660284126004,867.0
openclose,0.20526315789473684,0.19696969696969696,0.20103092783505155,198.0
regular,0.4552238805970149,0.49414941494149417,0.4738886491152352,1111.0
running,0.9042690815006468,0.7524219590958019,0.8213866039952996,929.0
walk,0.7722054380664652,0.769416014449127,0.7708082026537998,1661.0
accuracy,0.6874007411328745,0.6874007411328745,0.6874007411328745,0.6874007411328745
macro avg,0.6656494599316573,0.6521629332065066,0.6555044793069142,11334.0
weighted avg,0.6939181639686292,0.6874007411328745,0.6869652859375789,11334.0
