transform,dense_units,n_params,input_dim,n_train,n_test,val_f1_macro,accuracy,balanced_accuracy,f1_macro,train_seconds,final_loss
rdft,1024,33155849,2048,148229,11334,65.17989089804446,68.74007411328745,65.21629332065066,65.55044793069142,1566.8,0.129
rdft,256,8375561,2048,148229,11334,64.99544934826321,67.28427739544732,65.23461652840057,64.65934230610135,1097.6,0.412
