,car,construction,fence,longboard,manipulation,openclose,regular,running,walk
car,0.4204288939051919,0.03611738148984198,0.1873589164785553,0.0039503386004514675,0.001693002257336343,0.0039503386004514675,0.24492099322799096,0.000564334085778781,0.1010158013544018
construction,0.07123655913978495,0.8611111111111112,0.029121863799283155,0.0008960573476702509,0.0,0.0017921146953405018,0.023745519713261647,0.004032258064516129,0.008064516129032258
fence,0.1205244578920827,0.014120020171457387,0.4357034795763994,0.0030257186081694403,0.0045385779122541605,0.0070600100857286935,0.33232476046394355,0.0,0.0827029752899647
longboard,0.0189328743545611,0.0189328743545611,0.0034423407917383822,0.9242685025817556,0.0,0.010327022375215147,0.0017211703958691911,0.020654044750430294,0.0017211703958691911
manipulation,0.040369088811995385,0.02306805074971165,0.002306805074971165,0.011534025374855825,0.7773933102652826,0.06343713956170703,0.00461361014994233,0.016147635524798153,0.06113033448673587
openclose,0.12121212121212122,0.020202020202020204,0.08585858585858586,0.030303030303030304,0.06060606060606061,0.1919191919191919,0.12121212121212122,0.045454545454545456,0.32323232323232326
regular,0.09540954095409541,0.0054005400540054005,0.15031503150315031,0.0054005400540054005,0.0,0.0009000900090009,0.7002700270027002,0.0,0.0423042304230423
running,0.07427341227125941,0.005382131324004306,0.0,0.09364908503767493,0.02906350914962325,0.06458557588805167,0.005382131324004306,0.7147470398277718,0.012917115177610334
walk,0.041541240216736906,0.01625526791089705,0.036122817579771226,0.0012040939193257074,0.006622516556291391,0.012642986152919929,0.030102347983142687,0.010234798314268514,0.8452739313666466
