domain,n_selected,n_available,pct_of_selected,retention_pct
time,11,112,14.864864864864865,9.821428571428571
freq,1,90,1.3513513513513513,1.1111111111111112
tf,51,739,68.91891891891892,6.901217861975643
spatial,11,61,14.864864864864865,18.0327868852459
