,variance,pearson,mutual_info,relieff,mrmr,rfe,boruta,shap
variance,1.0,0.3726027397260274,0.3651226158038147,0.34496644295302015,0.3782668500687758,0.2979274611398964,0.38016528925619836,0.3994413407821229
pearson,0.3726027397260274,1.0,0.6897133220910624,0.6292682926829268,0.6187399030694669,0.2862644415917843,0.5486862442040186,0.5067669172932331
mutual_info,0.3651226158038147,0.6897133220910624,1.0,0.6319218241042345,0.565625,0.339572192513369,0.6266233766233766,0.5439137134052389
relieff,0.34496644295302015,0.6292682926829268,0.6319218241042345,1.0,0.5297709923664122,0.34316353887399464,0.6372549019607843,0.5391705069124424
mrmr,0.3782668500687758,0.6187399030694669,0.565625,0.5297709923664122,1.0,0.3651226158038147,0.5,0.4778761061946903
rfe,0.2979274611398964,0.2862644415917843,0.339572192513369,0.34316353887399464,0.3651226158038147,1.0,0.4132581100141044,0.3839779005524862
boruta,0.38016528925619836,0.5486862442040186,0.6266233766233766,0.6372549019607843,0.5,0.4132581100141044,1.0,0.678391959798995
shap,0.3994413407821229,0.5067669172932331,0.5439137134052389,0.5391705069124424,0.4778761061946903,0.3839779005524862,0.678391959798995,1.0
