feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
TF:WPT_aaad_rel_energy,4,0.0029403662774711847,646.0,0.16854625507040003,602.0,0.1838855629721201,706.0,0.20588415323192777,264.0,0.0,701.5,-6.0,352.5,-17.0,410.5,0.00014469147833815317,470.0,519.0625,50.0
TF:WPT_ddaa_range,4,0.10257948189973831,405.5,0.18023222776600545,548.5,0.1391582035775838,784.5,0.1063265365616266,681.5,0.0,701.5,-6.0,352.5,-2.0,359.0,0.00025627092834704037,324.0,519.625,50.0
TIME:zcr,4,112067.28125,30.0,0.20876900069128154,415.0,0.2727412772904958,485.0,0.15552549452717643,436.0,0.0,701.5,-11.0,852.5,-217.0,610.5,9.56535335711752e-05,636.0,520.8125,50.0
TF:WPT_daad_abs_mean,4,4.080174403497949e-05,837.0,0.26231400598008264,137.0,0.3352421938869563,329.0,0.2077443368770793,257.0,131.0,270.0,-12.0,952.5,-190.0,583.5,4.7637995968776884e-05,810.0,522.0,50.0
TF:WPT_ddad_std,4,0.00581423519179225,607.0,0.2291978735969699,327.0,0.2675017527221457,517.0,0.1847342081532008,310.0,0.0,701.5,-12.0,952.5,-2.0,359.0,0.00017311358825708673,415.0,523.625,50.0
TF:DWT_L0_range,4,87.18355560302734,95.5,0.1967447449985613,467.5,0.1680190388403564,740.5,0.1487954603745931,481.5,0.0,701.5,-6.0,352.5,-249.0,642.0,7.273724607859755e-05,714.0,524.375,50.0
TF:DWT_L6_tk_max,4,0.11073312908411026,400.0,0.1923247946387243,489.0,0.3087905104064772,386.0,0.13204117097867593,601.0,166.0,235.0,-9.0,652.5,-137.0,530.5,9.329419828299144e-22,936.0,528.75,50.0
TF:WPT_aaad_std,4,0.08598741888999939,428.5,0.16726896502575883,609.5,0.20638047461451547,641.5,0.18801567782700676,300.5,0.0,701.5,-9.0,652.5,-41.0,434.0,0.0001434155728817075,477.0,530.625,50.0
TF:DWT_L4_min,4,2.6864631175994873,205.0,0.19826857099182282,456.0,0.16619179776372572,744.0,0.17411526312211217,350.0,27.0,374.0,-11.0,852.5,-307.0,700.0,0.0001172425362282045,565.0,530.8125,50.0
TF:DWT_L6_var,4,0.00014433354954235256,806.0,0.25012694378493816,196.0,0.30867425609410404,387.5,0.1630914692425926,388.0,24.0,377.0,-8.0,552.5,-215.0,608.0,1.028396466802819e-21,935.0,531.25,50.0
TF:WPT_adda_energy,4,111018.8359375,31.0,0.24178998790821635,254.0,0.3031568251958596,405.0,0.13664886924719027,586.0,0.0,701.5,-11.0,852.5,-150.0,543.0,2.7085186437340327e-05,883.0,532.0,50.0
TF:mod10_centroid,4,3.137782096862793,196.0,0.20496307175550563,433.0,0.17227611647796115,733.0,0.07538616206340341,756.0,0.0,701.5,-5.0,252.5,-412.0,805.5,0.0001954819723987112,382.0,532.4375,50.0
TF:WPT_adad_tk_mean,4,0.026127124205231667,510.0,0.23975896155679086,273.0,0.32174725226280687,356.0,0.15773264212338964,418.0,0.0,701.5,-10.0,752.5,-281.0,674.0,0.00011157295400282577,589.0,534.25,50.0
TF:DWT_L1_std,4,0.605412483215332,287.0,0.12494408275938723,774.0,0.2708898698787112,500.0,0.14908172944737214,479.0,0.0,701.5,-8.0,552.5,-114.0,507.0,0.00014371679981217204,476.0,534.625,50.0
TF:WPT_adda_tk_std,4,2.125913381576538,224.0,0.16126387002645315,646.0,0.1573918431394179,752.0,0.14386526557207915,540.0,0.0,701.5,-9.0,652.5,-71.0,464.0,0.00026526609276939953,316.0,537.0,50.0
TF:WPT_adad_var,4,0.025840185582637787,513.0,0.24111361069693024,262.0,0.2716906651423381,493.0,0.15719506211186962,423.0,0.0,701.5,-8.0,552.5,-274.0,667.5,7.380955234500484e-05,712.0,540.5625,50.0
TF:WPT_dada_range,4,0.06772783398628235,452.5,0.16613203875187438,621.5,0.2093152392579194,632.5,0.14945540532886542,475.5,0.0,701.5,-7.0,452.5,-22.0,415.0,0.00011463965243773285,577.0,541.0,50.0
TF:WPT_dddd_std,4,0.006295306142419577,601.0,0.23567477428038383,296.0,0.3122570318239659,375.0,0.17918313708397443,330.0,0.0,701.5,-12.0,952.5,-2.0,359.0,6.264863259181788e-05,759.0,546.75,50.0
TF:DWT_L5_tk_std,4,0.18941102921962738,367.0,0.19797262865732032,457.0,0.2105313339506334,631.0,0.16851225157332286,370.0,0.0,701.5,-11.0,852.5,-167.0,560.5,0.0001529087401295372,445.0,548.0625,50.0
TF:WPT_band_entropy,4,0.29492664337158203,344.0,0.2028506701034253,438.0,0.2790330056523791,467.0,0.13372303849609454,598.0,0.0,701.5,-11.0,852.5,-132.0,525.5,0.00013962153158810222,491.0,552.1875,50.0
TF:WPT_aaaa_zcr,4,0.0051426272839307785,611.0,0.17772199571407465,559.0,0.14521069508040307,777.0,0.15414519446774266,447.0,0.0,701.5,-7.0,452.5,-67.0,460.5,0.00017756683125728562,410.0,552.3125,50.0
TF:WPT_ddaa_log_energy,4,0.21195068955421448,361.0,0.1760347313398151,568.0,0.30781188194114595,391.0,0.180552133757934,319.0,0.0,701.5,-9.0,652.5,-104.0,497.0,5.603682742130608e-06,932.0,552.75,50.0
