domain,n_selected,n_available,pct_of_selected,retention_pct
time,12,112,22.641509433962263,10.714285714285714
freq,2,90,3.7735849056603774,2.2222222222222223
tf,38,739,71.69811320754717,5.142083897158322
spatial,1,61,1.8867924528301887,1.639344262295082
