dataset,model,n_train,n_test,accuracy,balanced_accuracy,f1_macro,train_seconds,n_params
cao,1D-CNN (DAS_CNN),9000,1581,82.79569892473118,82.15628913879623,81.20721443586368,60.8,33152774
tomasov,1D-CNN (DAS_CNN),13500,3398,55.061801059446736,53.105780022446694,53.84588352929867,89.3,33155849
