Dataset,Classes,Split protocol,Feature set,Features,Model,Balancing,Accuracy (%),Balanced acc. (%),Macro-F1 (%),CV macro-F1 (%),Inference (ms/sample)
Cao et al. 2023,6,session-grouped,8_consensus,53,LightGBM,borderline_smote,94.398,93.364,93.084,93.93,0.07028
Tomasov et al. 2025,9,blocked segment + guard band,8_consensus,52,LightGBM,smote,77.29,72.879,73.589,66.25,0.14517
