direction,n_train,n_test,accuracy,balanced_accuracy,f1_macro
Cao (within),179,29,93.10344827586206,92.08333333333334,93.0952380952381
Tomasov (within),197,20,65.0,65.27777777777779,54.22077922077923
Cao -> Tomasov,240,240,21.666666666666668,21.666666666666668,13.554705362747354
Tomasov -> Cao,240,240,40.833333333333336,40.833333333333336,28.18551355503633
