held_out_date,n_test,n_classes_in_test,accuracy,f1_macro
220116,45,3,80.0,56.326530612244895
220117,32,4,100.0,100.0
220122,58,4,87.93103448275862,74.4887537993921
220517,44,4,50.0,30.371017871017873
