held_out_recording,true_class,n_test,accuracy,recall_on_true_class
auto4_2023-06-06T145055+0100,car,43,6.976744186046512,6.976744186046512
kopani_plot_2023-11-07T150207Z,fence,37,59.45945945945946,59.45945945945946
longboard_2023-04-17T123543+0100,longboard,37,45.94594594594595,45.94594594594595
walking2_2023-04-17T122153+0100,walk,43,46.51162790697674,46.51162790697674
