n_classes,dropped,n_samples,accuracy,balanced_accuracy,f1_macro,f1_gain_pp
6,(none),15418,94.39822518025514,93.36352203045492,93.08367638596718,0.0
5,walk,12968,97.13558243157225,96.72917031848476,96.50987710737337,3.43
4,"walk, shake",10240,97.56437021572721,97.84203352885321,97.61663555980111,4.53
