class,precision,recall,f1-score,support
background,0.8620689655172413,0.9911894273127754,0.9221311475409836,227.0
dig,0.9719101123595506,0.9351351351351351,0.953168044077135,370.0
knock,0.966824644549763,0.9839228295819936,0.9752988047808765,622.0
shake,0.863013698630137,0.9402985074626866,0.9,134.0
walk,0.9441624365482234,0.8017241379310345,0.8671328671328671,232.0
water,0.9857142857142858,0.9495412844036697,0.9672897196261683,218.0
accuracy,0.9439822518025514,0.9439822518025514,0.9439822518025514,0.9439822518025514
macro avg,0.9322823572198669,0.9336352203045492,0.9308367638596717,1803.0
weighted avg,0.9463319804973603,0.9439822518025514,0.9435805809358725,1803.0
