,background,dig,knock,shake,walk,water
background,0.9911894273127754,0.0,0.0,0.00881057268722467,0.0,0.0
dig,0.002702702702702703,0.9351351351351351,0.04594594594594595,0.005405405405405406,0.010810810810810811,0.0
knock,0.00482315112540193,0.001607717041800643,0.9839228295819936,0.00482315112540193,0.001607717041800643,0.003215434083601286
shake,0.05970149253731343,0.0,0.0,0.9402985074626866,0.0,0.0
walk,0.09913793103448276,0.034482758620689655,0.017241379310344827,0.04310344827586207,0.8017241379310345,0.004310344827586207
water,0.0045871559633027525,0.0045871559633027525,0.0,0.013761467889908258,0.027522935779816515,0.9495412844036697
