,background,dig,knock,shake,walk,water
background,0.9829931972789115,0.00510204081632653,0.008503401360544218,0.0,0.0017006802721088435,0.0017006802721088435
dig,0.01195219123505976,0.9023904382470119,0.029880478087649404,0.00199203187250996,0.04183266932270916,0.01195219123505976
knock,0.021739130434782608,0.017786561264822136,0.9110671936758893,0.0,0.029644268774703556,0.019762845849802372
shake,0.0,0.0,0.0,0.9542124542124543,0.016483516483516484,0.029304029304029304
walk,0.012244897959183673,0.03469387755102041,0.0326530612244898,0.00816326530612245,0.8918367346938776,0.02040816326530612
water,0.004434589800443459,0.013303769401330377,0.022172949002217297,0.03325942350332594,0.022172949002217297,0.9046563192904656
