class,precision,recall,f1-score,support
background,0.9401709401709402,0.9691629955947136,0.9544468546637744,227.0
dig,0.863517060367454,0.8891891891891892,0.8761651131824234,370.0
knock,0.9475409836065574,0.9292604501607717,0.9383116883116883,622.0
shake,0.9142857142857143,0.9552238805970149,0.9343065693430657,134.0
walk,0.8504273504273504,0.8577586206896551,0.8540772532188842,232.0
water,0.9264705882352942,0.8669724770642202,0.8957345971563981,218.0
accuracy,0.9112590127565169,0.9112590127565169,0.9112590127565169,0.9112590127565169
macro avg,0.9070687728488851,0.9112612688825941,0.9088403459793724,1803.0
weighted avg,0.9118550342799584,0.9112590127565169,0.9113053484386524,1803.0
