,background,dig,knock,shake,walk,water
background,0.9691629955947136,0.004405286343612335,0.01762114537444934,0.0,0.00881057268722467,0.0
dig,0.013513513513513514,0.8891891891891892,0.03783783783783784,0.0,0.04054054054054054,0.01891891891891892
knock,0.014469453376205787,0.04983922829581994,0.9292604501607717,0.0,0.006430868167202572,0.0
shake,0.0,0.007462686567164179,0.0,0.9552238805970149,0.0,0.03731343283582089
walk,0.0,0.08189655172413793,0.008620689655172414,0.03879310344827586,0.8577586206896551,0.01293103448275862
water,0.0,0.0,0.05504587155963303,0.013761467889908258,0.06422018348623854,0.8669724770642202
