,variance,pearson,mutual_info,relieff,mrmr,rfe,boruta,shap
variance,1.0,0.3839779005524862,0.3707250341997264,0.4112676056338028,0.3012987012987013,0.33067729083665337,0.3878116343490305,0.3897364771151179
pearson,0.3839779005524862,1.0,0.7671957671957672,0.8218181818181818,0.5462962962962963,0.18021201413427562,0.4396551724137931,0.37637362637362637
mutual_info,0.3707250341997264,0.7671957671957672,1.0,0.7640845070422535,0.5754716981132075,0.19427890345649582,0.45217391304347826,0.3878116343490305
relieff,0.4112676056338028,0.8218181818181818,0.7640845070422535,1.0,0.5344563552833078,0.20577617328519857,0.441726618705036,0.37448559670781895
mrmr,0.3012987012987013,0.5462962962962963,0.5754716981132075,0.5344563552833078,1.0,0.26037735849056604,0.42329545454545453,0.3782668500687758
rfe,0.33067729083665337,0.18021201413427562,0.19427890345649582,0.20577617328519857,0.26037735849056604,1.0,0.35588633288227334,0.42127659574468085
boruta,0.3878116343490305,0.4396551724137931,0.45217391304347826,0.441726618705036,0.42329545454545453,0.35588633288227334,1.0,0.6187399030694669
shap,0.3897364771151179,0.37637362637362637,0.3878116343490305,0.37448559670781895,0.3782668500687758,0.42127659574468085,0.6187399030694669,1.0
