domain,n_selected,n_available,pct_of_selected,retention_pct
time,1,112,3.0303030303030303,0.8928571428571429
freq,3,90,9.090909090909092,3.3333333333333335
tf,21,739,63.63636363636363,2.841677943166441
spatial,8,61,24.242424242424242,13.114754098360656
