k,accuracy,balanced_accuracy,f1_macro,train_seconds
10,0.5769230769230769,0.542063492063492,0.5186029045678168,6.891895699998713
20,0.5961538461538461,0.5727513227513227,0.5210480151656622,6.4438859000001685
40,0.6153846153846154,0.5727513227513227,0.5333389921625216,5.795798499999364
80,0.6730769230769231,0.6376984126984128,0.605066749364995,5.7551798000022245
120,0.7115384615384616,0.6738095238095237,0.6495793355442477,5.781326200001786
160,0.7115384615384616,0.6674603174603174,0.6396146089128545,5.709909100001823
200,0.6923076923076923,0.6452380952380952,0.5973144139810808,5.884034500002599
271,0.7115384615384616,0.6711640211640212,0.650148519446765,6.1797274999989895
400,0.75,0.732010582010582,0.6919191919191918,6.6042362000007415
600,0.7115384615384616,0.683862433862434,0.6509058842392176,8.64304859999902
800,0.7692307692307693,0.7552910052910052,0.7244433604082726,10.079451400000835
1002,0.75,0.7394179894179894,0.703788089753002,12.690319699999236
