feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
TF:WPT_adda_std,7,0.017221271991729736,479.0,0.22005740891227335,99.0,0.4028850763474141,169.0,0.15474504980506937,147.0,182.0,219.0,-10.0,752.5,-52.0,193.0,0.0006959347710930376,75.0,266.6875,87.5
TF:stft_p50,7,1.909964477249559e-21,947.0,0.2203483806339182,91.0,0.4589673220286543,20.0,0.1781846144497449,25.0,379.0,22.0,-7.0,452.5,-2.0,130.5,0.00019169447383983956,456.0,268.0,87.5
TF:WPT_adda_abs_mean,7,0.010602382011711597,499.0,0.22176177191102178,65.0,0.4453318034771052,52.0,0.15850783586834583,120.0,238.0,163.0,-10.0,752.5,-23.0,164.0,0.00022392656079593185,368.0,272.9375,87.5
TF:WPT_dada_tk_mean,7,3.8466092178168765e-07,878.0,0.22540524941575868,17.0,0.4383185876171636,67.0,0.1728781538232075,41.0,366.0,35.0,-5.0,252.5,-348.0,489.0,0.00020746146206934466,406.0,273.1875,87.5
FREQ:bandP_1,7,23659055939584.0,2.0,0.18273868862367212,373.0,0.2850820275675181,470.5,0.06242619694105755,583.0,7.0,394.0,-5.0,252.5,-1.0,59.0,0.0008533901414083452,54.0,273.5,87.5
TF:Ef_harmonic_ratio,7,0.014270203188061714,487.0,0.14942659182348267,504.0,0.2887362065835908,463.0,0.14125735203185802,247.0,254.0,147.0,-3.0,52.5,-2.0,130.5,0.0003938379075264827,179.0,276.25,87.5
TF:stft_std,7,0.0004378974554128945,684.0,0.19384025328844284,283.0,0.36132949920328494,295.0,0.1365766112808592,262.0,195.0,206.0,-6.0,352.5,-1.0,59.0,0.0007219840090189038,71.0,276.5625,87.5
TF:Et_min,7,0.022605378180742264,470.0,0.20309103468884945,228.0,0.3821727995774702,236.0,0.15188073452242587,172.0,257.0,144.0,-4.0,152.5,-416.0,557.5,0.0002828519098917894,274.0,279.25,87.5
FREQ:mag_std,7,7.77272891998291,153.0,0.21642122716577916,170.0,0.3810513979817194,240.0,0.16245898733684183,102.0,140.0,261.0,-11.0,852.5,-162.0,303.0,0.0004098315380950344,165.0,280.8125,87.5
TF:WPT_aada_rms,7,0.06321864575147629,410.0,0.2197329026647487,109.0,0.4130347964637968,132.0,0.15042596213484005,190.0,157.0,244.0,-10.0,752.5,-231.0,372.0,0.0009559390736591087,43.0,281.5625,87.5
TF:WPT_aaaa_tk_mean,7,4.166344165802002,177.0,0.14414747554212318,529.0,0.3256536415089104,379.0,0.09916200997493019,428.0,154.0,247.0,-6.0,352.5,-1.0,59.0,0.0006472709023172899,86.0,282.1875,87.5
