feature,importance,domain
TF:DWT_L4_zcr,296.0,TF
TF:WPT_aadd_kurt,295.0,TF
TF:hog_b3,294.0,TF
TF:WPT_adad_median,294.0,TF
TIME:seg_energy_3,293.0,TIME
TF:DWT_L4_skew,293.0,TF
TF:WPT_dddd_median,292.0,TF
TF:mod7_entropy,291.0,TF
TF:stft_min,291.0,TF
TF:WPT_dadd_median,290.0,TF
TF:WPT_aadd_skew,290.0,TF
TF:WPT_ddda_mean,290.0,TF
TF:lbp_b2,289.0,TF
TF:WPT_dada_mean,288.0,TF
TIME:activity_factor,288.0,TIME
TIME:median,287.0,TIME
TF:WPT_addd_median,287.0,TF
TF:DWT_L0_tk_mean,285.0,TF
TF:WPT_aadd_mean,285.0,TF
TF:WPT_ddad_mean,284.0,TF
TF:WPT_dadd_skew,282.0,TF
TIME:mean_peak_amp,282.0,TIME
TF:WPT_daaa_zcr,281.0,TF
TF:WPT_ddad_median,280.0,TF
FREQ:bandP_3,280.0,FREQ
FREQ:bandP_rel_1,278.0,FREQ
TF:WPT_dada_kurt,278.0,TF
TF:hog_b14,277.0,TF
TIME:p5,276.0,TIME
TF:mod10_centroid,276.0,TF
TF:DWT_L3_median,275.0,TF
TF:WPT_ddda_median,275.0,TF
TF:hog_b10,275.0,TF
TF:WPT_adaa_zcr,274.0,TF
TF:hog_b2,273.0,TF
TF:WPT_aadd_zcr,272.0,TF
TF:hog_b12,270.0,TF
TF:lbp_b19,266.0,TF
TF:lbp_b29,265.0,TF
TF:lbp_b10,265.0,TF
TF:WPT_aadd_entropy,264.0,TF
TF:WPT_aadd_median,264.0,TF
TIME:hist_b7,264.0,TIME
TF:WPT_dadd_zcr,263.0,TF
TF:lbp_b16,263.0,TF
TIME:seg_energy_7,262.0,TIME
FREQ:hist_b23,261.0,FREQ
TIME:energy_spread,260.0,TIME
TF:WPT_dadd_kurt,260.0,TF
TF:flux_max,258.0,TF
TF:DWT_L4_mean,258.0,TF
TF:WPT_ddaa_zcr,257.0,TF
TF:Ef_skew,256.0,TF
TF:mod9_centroid,255.0,TF
TF:WPT_addd_entropy,255.0,TF
TF:mod8_entropy,255.0,TF
TF:DWT_L1_median,254.0,TF
TF:lbp_b1,251.0,TF
FREQ:hist_b29,245.0,FREQ
TF:WPT_adad_zcr,244.0,TF
TIME:seg_energy_4,243.0,TIME
TF:das_tonal_ratio,242.0,TF
TF:DWT_L0_median,242.0,TF
TF:tf_fill_ratio,242.0,TF
TF:WPT_adad_mean,240.0,TF
TF:lbp_b13,239.0,TF
TF:WPT_addd_mean,238.0,TF
TIME:seg_energy_5,237.0,TIME
TF:lbp_b17,236.0,TF
FREQ:bandP_0,235.0,FREQ
TF:lbp_b12,235.0,TF
TF:lbp_b11,234.0,TF
TF:lbp_b26,234.0,TF
TF:WPT_adda_mean,233.0,TF
TIME:above_2std_frac,232.0,TIME
TF:tf_aspect_ratio,232.0,TF
TF:WPT_daad_mean,231.0,TF
TF:lbp_b7,231.0,TF
TF:DWT_L1_max,231.0,TF
TF:novelty,231.0,TF
TF:flux_std,230.0,TF
FREQ:hist_b26,230.0,FREQ
TF:mod10_entropy,229.0,TF
TF:coherence_std,228.0,TF
TF:lbp_b27,228.0,TF
FREQ:peak_count,227.0,FREQ
TF:WPT_addd_kurt,227.0,TF
TF:mod9_entropy,227.0,TF
TF:DWT_L0_tk_max,226.0,TF
TF:WPT_aada_skew,224.0,TF
TF:lbp_b20,224.0,TF
TF:lbp_b22,224.0,TF
TIME:p95,224.0,TIME
TF:DWT_L4_kurt,224.0,TF
TF:WPT_aaaa_mad,222.0,TF
TF:lbp_b24,222.0,TF
TF:WPT_aaaa_tk_mean,221.0,TF
TF:stft_p10,220.0,TF
TF:WPT_daad_median,219.0,TF
TF:WPT_aaaa_tk_max,218.0,TF
TF:lbp_b25,217.0,TF
TF:lbp_b14,217.0,TF
TF:WPT_dddd_mean,217.0,TF
TF:WPT_aaaa_median,215.0,TF
TF:DWT_L6_entropy,213.0,TF
SPAT:st_hist_uniformity,212.0,SPAT
TIME:seg_energy_2,210.0,TIME
FREQ:hist_b25,210.0,FREQ
TIME:hist_b8,210.0,TIME
TF:DWT_L3_mean,210.0,TF
FREQ:frac_mid,208.0,FREQ
TF:lbp_b28,208.0,TF
TF:lbp_b6,207.0,TF
TF:DWT_L2_max,206.0,TF
TF:WPT_aaaa_iqr,205.0,TF
TF:lbp_b5,205.0,TF
FREQ:cepstral_3,204.0,FREQ
SPAT:st_traj_drift,204.0,SPAT
FREQ:hist_b24,202.0,FREQ
TF:tfband_1,201.0,TF
TF:DWT_L1_min,200.0,TF
TF:WPT_adad_skew,200.0,TF
TF:WPT_adad_entropy,200.0,TF
TIME:energy_centroid,200.0,TIME
TF:mod11_spread,200.0,TF
TF:lbp_b18,196.0,TF
TF:divergence_std,196.0,TF
TIME:mean,195.0,TIME
TF:stft_p25,195.0,TF
TF:lbp_b21,192.0,TF
TIME:p99,190.0,TIME
FREQ:cepstral_6,189.0,FREQ
TF:DWT_L1_range,189.0,TF
TF:glcm_63_correlation_d4_a0,188.0,TF
TF:lbp_b23,188.0,TF
FREQ:hist_b30,187.0,FREQ
TF:WPT_aaaa_tk_std,187.0,TF
TF:lbp_b4,186.0,TF
FREQ:hist_b28,186.0,FREQ
TF:DWT_L1_tk_max,186.0,TF
TF:DWT_L1_tk_mean,185.0,TF
TF:DWT_L0_tk_std,185.0,TF
TF:WPT_aada_entropy,183.0,TF
TIME:hist_b14,181.0,TIME
TF:DWT_L3_min,180.0,TF
TF:DWT_L6_skew,180.0,TF
TIME:burst_mean_dur,179.0,TIME
TF:DWT_L3_max,178.0,TF
TF:mod11_entropy,178.0,TF
TF:WPT_aada_mean,177.0,TF
