,car,construction,fence,longboard,manipulation,openclose,regular,running,walk
car,0.8747178329571106,0.0056433408577878106,0.05474040632054176,0.011851015801354402,0.0,0.000564334085778781,0.027652370203160272,0.0,0.024830699774266364
construction,0.0013440860215053765,0.9982078853046595,0.0,0.0,0.0,0.0,0.0,0.0,0.00044802867383512545
fence,0.007564296520423601,0.0,0.9470499243570348,0.0,0.0,0.0005042864346949068,0.01059001512859304,0.0005042864346949068,0.033787191124558746
longboard,0.06368330464716007,0.0017211703958691911,0.0,0.9345955249569707,0.0,0.0,0.0,0.0,0.0
manipulation,0.0,0.0,0.0,0.0,0.9988465974625144,0.0011534025374855825,0.0,0.0,0.0
openclose,0.7777777777777778,0.0,0.050505050505050504,0.005050505050505051,0.0,0.025252525252525252,0.020202020202020204,0.0,0.12121212121212122
regular,0.024302430243024302,0.0036003600360036,0.18181818181818182,0.0,0.0,0.0,0.783978397839784,0.0,0.0063006300630063005
running,0.0,0.0,0.0,0.04628632938643703,0.011840688912809472,0.02045209903121636,0.0,0.9214208826695371,0.0
walk,0.06742925948223961,0.0,0.021673690547862733,0.0012040939193257074,0.0006020469596628537,0.001806140878988561,0.0,0.013847080072245636,0.893437688139675
